IP,Colo,Latency,Jitter,SgSpeed_MB,Speed_MB,MinSpeed_MB,LoadLatency,Stability,Score
104.18.226.62,SJC,181.4,0.5,0.38,0.38,0.07,196.2,63,34.2
198.41.194.35,SJC,182.2,1.7,0.40,0.40,0.09,526.6,59,33.0
198.41.195.146,SJC,182.5,4.0,0.23,0.23,0.02,195.1,63,32.8
103.21.244.8,SJC,183.2,3.3,0.19,0.19,0.01,201.3,62,32.5
103.21.244.63,SJC,183.4,2.8,0.19,0.19,0.07,199.8,53,30.7
