IP,Colo,Latency,Jitter,SgSpeed_MB,Speed_MB,MinSpeed_MB,LoadLatency,Stability,Score
162.159.62.11,SIN,123.7,3.1,0.11,0.11,0.09,119.0,82,40.6
162.159.48.78,SIN,123.6,4.0,0.06,0.06,0.02,123.0,67,36.4
162.159.14.171,SIN,118.4,5.0,0.05,0.05,0.02,125.2,58,34.2
162.159.9.110,SIN,121.5,2.5,0.05,0.05,0.02,123.1,51,32.9
