IP,Colo,Latency,Jitter,SgSpeed_MB,Speed_MB,MinSpeed_MB,LoadLatency,Stability,Score
190.93.244.247,SJC,178.9,4.8,16.19,16.19,1.19,188.3,52,67.1
104.18.72.107,SJC,178.4,1.9,13.46,13.46,2.11,184.8,49,65.1
190.93.246.143,SJC,177.0,5.4,13.75,13.75,0.75,180.0,51,63.0
103.21.244.30,SJC,178.6,1.4,4.47,4.47,2.42,182.4,66,49.0
103.21.244.84,SJC,178.9,2.3,4.22,4.22,0.01,182.6,0,27.0
