IP,Colo,Latency,Jitter,SgSpeed_MB,Speed_MB,MinSpeed_MB,LoadLatency,Stability,Score
190.93.245.126,SJC,417.0,179.4,0.24,0.24,0.18,182.8,74,24.5
104.17.206.24,SJC,435.1,192.3,0.17,0.17,0.05,189.9,67,22.1
103.21.244.80,SJC,365.1,165.4,0.33,0.33,0.08,187.9,65,22.1
104.19.1.253,SJC,431.2,188.1,0.19,0.19,0.02,519.7,60,20.6
173.245.49.5,SJC,429.6,187.9,0.08,0.08,0.03,191.4,29,12.4
